id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
112598,25070,2044,27,100,1,0,7,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
113177,25083,2044,17,100,1,0,2,216,11,203,115,192,36,18,2,1,0,1,25,5,2,1,0,2,5,5,1,1,0,0,0,0,0,0,0,0,-0.27,0.0,-0.2113
113184,25083,2044,17,100,1,0,3,7,1,6,0,11,3,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0193
115294,25128,2044,5,100,1,0,5,384,277,99,0,1240,147,147,8,30,0,0,0,0,0,305,299,8,262,255,65,60,34,23,18,7,30,12,1,0,0.0,0.0,5.1671
115297,25128,2044,5,100,1,0,9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0382
115383,25129,2044,36,100,1,0,2,853,41,807,364,871,100,97,5,4,0,6,74,13,2,8,11,3,13,13,7,6,8,4,0,0,2,0,0,0,-2.7,0.0,-2.0302
119130,25197,2044,9,100,1,0,1,0,0,0,0,26,5,5,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.333
122426,25249,2044,29,100,1,0,4,576,321,249,0,1194,142,140,6,64,0,0,0,0,0,332,307,6,312,300,57,47,49,30,59,8,59,11,35,0,0.0,0.0,9.0302
122430,25249,2044,29,100,1,0,5,2,1,1,0,18,2,2,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-0.0334
122439,25249,2044,29,100,1,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
122443,25249,2044,29,100,1,0,7,5,0,5,0,39,14,0,0,0,0,0,0,0,0,5,5,0,3,3,1,1,1,1,1,0,0,0,3,0,0.0,0.0048,0.1639
142877,25664,2044,38,100,1,0,2,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0029
142881,25664,2044,38,100,1,0,3,8,1,7,0,6,4,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0585
142886,25664,2044,38,100,1,0,4,33,16,16,0,61,7,7,1,3,0,0,0,0,0,20,19,1,20,18,5,4,2,2,3,1,2,0,3,0,0.0,0.0,0.1849
142889,25664,2044,38,100,1,0,6,365,242,111,0,758,86,86,12,45,0,0,0,0,0,254,241,12,236,222,25,12,37,22,43,11,49,13,15,0,0.0,0.0,1.1503
142892,25664,2044,38,100,1,0,8,4,1,3,0,19,3,1,0,0,0,0,0,0,0,3,3,0,1,1,2,1,2,0,1,1,0,0,2,0,0.0,0.6372,-0.6303
144463,25685,2044,3,100,1,0,8,4,0,4,0,20,11,0,0,0,0,0,0,0,0,4,4,0,2,2,1,1,1,1,0,0,0,0,2,0,0.0,-0.0793,0.1103
144466,25685,2044,3,100,1,0,9,206,7,197,0,850,118,98,2,0,0,0,0,0,0,192,186,0,150,150,31,28,12,8,23,5,39,6,57,0,0.0,1.3074,4.0756
145268,25706,2044,36,100,1,0,3,228,16,210,0,234,28,27,2,14,0,0,0,0,1,36,38,1,40,40,7,4,6,2,2,0,1,0,0,0,0.0,0.0,-1.2102
152164,25812,2044,2,100,1,0,1,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.0,0.0
154389,25855,2044,22,100,1,0,1,22,12,10,0,184,33,33,0,1,0,0,44,7,0,13,13,0,9,8,4,4,2,2,0,0,0,0,0,0,1.08,0.0,-0.6887
158001,25939,2044,20,100,1,0,1,7,3,3,0,79,47,5,1,0,0,0,3,3,1,6,4,1,2,2,3,2,1,1,0,0,0,0,0,0,0.945,0.0,1.8477
163823,26058,2044,21,100,1,0,3,44,3,41,0,53,7,6,0,2,0,0,0,0,0,11,11,0,9,9,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.3947
163828,26058,2044,21,100,1,0,4,42,21,21,0,74,9,9,0,9,0,0,0,0,0,16,19,0,19,16,4,1,2,1,4,0,4,1,0,0,0.0,0.0,-1.8452
