id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
344949,40613,2044,26,0,100,1,3,26,90,0,16,30,97,0,6,6,6,12,30,0,0,41,2,0,0,0,9,1,0,0,2,4,0,0,0,0,1,0,2,0,0,0,39,0,0,0,0,0,8.0,2.0,0.0,89.7,0,78,0,0,0.0,0.0
345091,40631,2044,11,0,100,1,1,53,201,0,54,57,219,1,15,31,31,45,45,824,1,53,3,5,3,0,33,11,0,1,2,8,1,0,0,2,2,14,6,0,1,1,50,0,0,3,3,5,30.0,8.0,-0.3292,207.1,0,160,7,11,0.5977,0.1711
345093,40631,2044,11,0,100,1,2,18,67,0,18,23,76,1,9,8,8,11,15,0,0,41,2,0,0,0,14,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,6.0,6.0,0.0,68.6,0,54,0,0,0.0,0.0
345092,40631,2044,11,0,100,1,3,35,134,0,36,34,143,0,6,23,23,34,30,0,1,51,3,0,0,0,19,10,0,1,2,5,0,0,0,2,2,0,5,0,0,0,48,0,0,0,0,0,24.0,2.0,0.0,138.5,0,106,0,0,0.0,0.0
345120,40635,2044,37,0,100,1,1,166,648,0,175,171,707,69,48,69,64,144,158,2659,1,33,33,10,10,0,129,31,2,6,1,14,1,0,0,5,3,0,12,9,0,0,0,0,0,8,3,0,0.0,0.0,1.3683,749.4003,0,499,0,0,4.5706,4.1325
345121,40635,2044,37,0,100,1,2,81,312,0,78,76,343,41,27,30,27,77,81,0,0,33,33,0,0,0,54,16,1,2,0,8,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,363.1,0,243,0,0,0.0,0.0
345122,40635,2044,37,0,100,1,3,85,336,0,97,95,364,28,21,39,37,67,77,0,1,33,33,0,0,0,75,15,1,4,1,6,1,0,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,386.2998,0,256,0,0,0.0,0.0
345178,40639,2044,19,0,100,1,1,20,83,0,25,25,92,0,8,13,12,17,15,364,0,16,0,1,1,1,13,7,0,0,0,5,0,0,0,1,1,3,2,0,2,1,16,0,0,1,0,0,9.0,5.0,-0.3811,86.9,0,60,2,3,-0.198,-0.2238
345179,40639,2044,19,0,100,1,2,5,26,0,9,11,27,0,1,6,5,2,4,0,2,15,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5.0,1.0,0.0,21.4,0,17,0,0,0.0,0.0
345180,40639,2044,19,0,100,1,3,14,57,0,16,14,65,0,7,7,7,15,11,0,1,16,0,0,0,0,8,5,0,0,0,3,0,0,0,1,1,0,2,0,0,0,16,0,0,0,0,0,4.0,4.0,0.0,65.5,0,43,0,0,0.0,0.0
