id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
227546,47647,2057,31,144,1,0,9,10,0,10,0,24,7,1,0,0,0,0,0,0,0,10,10,0,9,9,1,1,0,0,0,0,1,0,1,0,0.0,0.0159,0.1046
227769,47654,2057,49,144,1,0,4,145,84,60,0,258,38,26,1,21,0,0,0,0,0,85,79,1,78,75,11,8,16,11,12,2,15,3,3,0,0.0,0.0,3.0626
227770,47654,2057,49,144,1,0,5,32,23,8,0,141,18,16,1,1,0,0,0,0,1,30,30,1,21,20,6,6,3,2,0,0,4,3,0,0,0.0,0.0,0.9177
227771,47654,2057,49,144,1,0,6,6,5,1,0,19,2,2,0,1,0,0,0,0,0,6,6,0,7,6,0,0,0,0,0,0,0,0,1,0,0.0,0.0,-0.0864
227773,47654,2057,49,144,1,0,8,19,0,19,0,71,11,9,0,0,0,0,0,0,1,19,19,0,13,13,3,3,0,0,4,3,2,0,9,0,0.0,0.6453,0.3948
227774,47654,2057,49,144,1,0,9,19,1,17,0,74,15,9,1,0,0,0,0,0,0,15,17,0,13,11,4,4,2,0,4,2,4,0,8,0,0.0,0.2757,-1.1992
228311,47665,2057,37,144,1,0,5,320,226,84,0,1211,138,137,10,19,0,0,0,0,1,261,251,10,216,207,55,52,28,21,17,8,20,7,3,0,0.0,0.0,6.5847
228368,47667,2057,49,144,1,0,3,146,10,136,0,169,21,20,0,9,0,0,0,0,2,26,27,0,29,28,3,3,0,0,2,0,0,0,0,0,0.0,0.0,-0.0964
228372,47667,2057,49,144,1,0,6,1,0,1,0,4,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0197
228373,47667,2057,49,144,1,0,7,21,0,20,0,119,14,14,1,0,0,0,0,0,2,20,21,0,15,15,4,3,3,2,0,0,2,0,6,0,0.0,1.0379,-0.1463
228764,47675,2057,48,144,1,0,1,1,1,0,0,15,3,3,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.405,0.0,0.4365
228768,47675,2057,48,144,1,0,4,6,5,1,0,11,1,1,0,0,0,0,0,0,0,5,5,0,4,4,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.211
228772,47675,2057,48,144,1,0,5,6,6,0,0,44,6,4,0,0,0,0,0,0,2,6,6,0,2,2,4,3,0,0,0,0,1,1,0,0,0.0,0.0,0.1811
228789,47675,2057,48,144,1,0,6,1,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0197
228797,47675,2057,48,144,1,0,8,1,0,1,0,3,1,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0039
228800,47675,2057,48,144,1,0,9,271,16,252,0,1231,142,142,3,1,0,0,0,0,0,248,243,1,194,193,44,36,19,8,40,13,59,2,67,0,0.0,2.9324,2.2443
228926,47678,2057,31,144,1,0,1,17,8,8,0,177,32,32,1,0,0,0,17,6,1,8,9,1,6,5,1,1,2,2,1,0,1,0,0,0,-2.295,0.0,0.6331
229164,47692,2057,31,144,1,0,1,12,5,6,0,76,14,14,1,1,0,0,7,1,0,5,5,0,4,4,1,1,0,0,0,0,0,0,0,0,-0.675,0.0,-0.006
229451,47698,2057,42,144,1,0,8,32,1,31,0,79,9,9,0,0,0,0,0,0,0,31,29,0,21,21,7,7,1,1,6,2,1,0,13,0,0.0,-0.2468,0.7092
229573,47700,2057,33,144,1,0,3,121,9,110,0,130,33,11,2,7,0,0,0,0,0,37,38,2,34,33,5,3,4,4,1,0,1,0,0,0,0.0,0.0,-0.5181
229575,47700,2057,33,144,1,0,4,37,21,15,0,68,12,8,1,6,0,0,0,0,0,19,19,1,23,20,3,1,3,1,5,0,3,0,4,0,0.0,0.0,-1.3839
229577,47700,2057,33,144,1,0,5,23,16,7,0,74,13,9,0,0,0,0,0,0,1,16,17,0,16,15,2,2,2,2,1,1,2,0,0,0,0.0,0.0,0.146
229580,47700,2057,33,144,1,0,6,168,106,56,0,317,39,36,6,37,0,0,0,0,1,99,107,6,98,86,10,6,21,7,13,3,18,2,8,0,0.0,0.0,-6.1784
230661,47728,2057,47,144,1,0,7,7,0,7,0,27,4,4,0,0,0,0,0,0,0,6,6,0,6,6,0,0,1,1,1,0,0,0,2,0,0.0,-0.1151,0.1848
230666,47728,2057,47,144,1,0,8,21,1,20,0,57,18,4,0,0,0,0,0,0,2,20,18,0,11,11,4,4,2,2,3,2,4,1,4,0,0.0,-0.0682,1.3826
230670,47728,2057,47,144,1,0,9,4,0,4,0,17,2,2,0,0,0,0,0,0,0,4,4,0,2,2,1,1,1,1,2,0,0,0,2,0,0.0,0.0,0.0859
230822,47737,2057,44,144,1,0,7,182,2,179,0,886,104,103,1,0,0,0,0,0,1,178,174,0,141,139,32,26,19,8,17,4,47,2,35,0,0.0,-1.2748,1.7585
230823,47737,2057,44,144,1,0,8,59,2,56,0,191,25,21,1,0,0,0,0,0,2,57,55,1,36,35,10,9,8,7,9,5,5,0,18,0,0.0,-0.7273,0.453
230824,47737,2057,44,144,1,0,9,52,2,50,0,226,26,26,0,0,0,0,0,0,2,47,44,0,38,37,8,8,3,3,9,1,8,1,8,0,0.0,0.2944,1.8027
231174,47741,2057,35,144,1,0,7,98,0,98,0,530,60,58,0,0,0,0,0,0,2,96,95,0,77,76,10,9,14,9,15,2,17,2,34,0,0.0,-1.4292,1.9884
