id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
419656,52671,2057,39,0,144,1,1,0,46,6,16,48,188,13,11,1,0,0,5,4,0,1,2,0,1,0,0,0,0,-0.7973,0,-0.0243,-0.7744
419658,52671,2057,39,0,144,1,2,0,7,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
419657,52671,2057,39,0,144,1,3,0,39,6,12,41,0,13,11,1,0,0,5,4,0,0,2,0,1,0,0,0,0,0.0,0,0.0,0.0
419647,52676,2057,48,0,144,1,1,0,123,29,32,139,492,42,38,9,0,1,16,5,0,1,11,0,2,3,0,2,0,-0.1813,0,-0.9196,-0.0535
419649,52676,2057,48,0,144,1,2,0,66,18,16,72,0,30,25,3,0,0,2,3,0,0,3,0,1,2,0,1,0,0.0,0,0.0,0.0
419651,52676,2057,48,0,144,1,3,0,57,11,16,67,0,29,13,6,0,1,14,2,0,0,8,0,1,1,0,1,0,0.0,0,0.0,0.0
419721,52678,2057,42,0,144,1,1,0,350,97,52,386,1382,115,86,19,0,10,45,49,2,0,28,0,11,0,3,5,0,1.7875,0,0.5207,1.0298
419723,52678,2057,42,0,144,1,2,0,123,37,15,137,0,69,32,8,0,6,21,22,0,0,11,0,4,0,1,2,0,0.0,0,0.0,0.0
419726,52678,2057,42,0,144,1,3,0,227,60,37,249,0,89,54,11,0,4,24,27,0,0,17,0,7,0,2,3,0,0.0,0,0.0,0.0
419953,52686,2057,34,0,144,1,1,0,574,149,115,612,2072,147,146,32,4,30,79,109,10,3,29,1,13,0,2,7,0,2.3375,0,0.9752,3.7025
419945,52686,2057,34,0,144,1,2,0,154,40,23,164,0,77,41,7,1,10,22,32,0,0,7,1,2,0,1,2,0,0.0,0,0.0,0.0
419948,52686,2057,34,0,144,1,3,0,420,109,92,448,0,133,105,25,3,20,57,77,0,0,22,0,11,0,1,5,0,0.0,0,0.0,0.0
419950,52686,2057,34,0,144,1,21,0,23,6,3,26,83,6,6,1,0,2,4,8,2,1,3,0,0,0,0,0,0,0.5305,0,0.2497,0.0
420383,52705,2057,51,0,144,1,1,0,52,13,11,56,166,29,13,1,0,1,5,5,0,0,2,0,3,0,1,0,1,-0.3817,0,0.1149,-0.1368
420381,52705,2057,51,0,144,1,2,0,20,4,7,20,0,12,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
420385,52705,2057,51,0,144,1,3,0,32,9,4,36,0,16,7,1,0,1,4,4,0,0,2,0,3,0,1,0,1,0.0,0,0.0,0.0
420806,52727,2057,41,0,144,1,1,0,96,21,21,109,472,95,20,2,1,3,12,8,0,0,12,0,1,0,0,1,0,-0.2052,0,0.8705,0.5126
420810,52727,2057,41,0,144,1,2,0,21,5,8,22,0,15,2,1,1,1,5,3,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
420808,52727,2057,41,0,144,1,3,0,75,16,13,87,0,39,18,1,0,2,7,5,0,0,11,0,1,0,0,1,0,0.0,0,0.0,0.0
420804,52727,2057,41,0,144,1,21,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0958,0,0.0,0.0
420713,52735,2057,43,0,144,1,1,0,285,65,72,321,1266,81,78,14,3,7,44,37,3,5,28,0,4,1,0,7,0,0.0044,0,0.9943,0.4819
420721,52735,2057,34,0,144,1,1,0,34,5,11,39,158,17,8,1,0,1,3,4,0,0,3,0,0,0,0,2,0,-0.5436,1,0.4959,-0.192
420718,52735,2057,43,0,144,1,2,0,68,12,13,79,0,36,19,5,1,0,9,6,0,0,8,0,0,0,0,3,0,0.0,0,0.0,0.0
420723,52735,2057,34,0,144,1,2,0,15,2,5,18,0,12,4,1,0,0,2,2,0,0,2,0,0,0,0,1,0,0.0,1,0.0,0.0
420716,52735,2057,43,0,144,1,3,0,217,53,59,242,0,76,59,9,2,7,35,31,0,0,20,0,4,1,0,4,0,0.0,0,0.0,0.0
420726,52735,2057,34,0,144,1,3,0,19,3,6,21,0,11,4,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0.0,1,0.0,0.0
422681,52872,2057,42,0,144,1,1,0,12,3,2,13,49,6,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.1185,0,0.0,-0.0008
422691,52872,2057,42,0,144,1,2,0,3,3,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
422677,52872,2057,42,0,144,1,3,0,9,0,2,10,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
422637,52878,2057,44,0,144,1,1,0,409,96,110,459,1750,126,115,15,2,6,30,44,7,2,31,0,4,12,4,3,0,-1.2019,0,-3.3704,0.4131
422635,52878,2057,44,0,144,1,2,0,74,11,18,90,0,43,24,1,0,2,5,6,0,0,10,0,0,4,0,2,0,0.0,0,0.0,0.0
422643,52878,2057,44,0,144,1,3,0,335,85,92,369,0,111,91,14,2,4,25,38,0,0,21,0,4,8,4,1,0,0.0,0,0.0,0.0
423054,52891,2057,50,0,144,1,1,0,42,10,16,43,160,27,11,1,0,2,4,2,0,0,1,0,1,0,0,0,0,-0.4938,0,0.064,0.2824
423063,52891,2057,50,0,144,1,2,0,10,1,3,10,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
423055,52891,2057,50,0,144,1,3,0,32,9,13,33,0,12,8,1,0,2,4,2,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0.0
423226,52895,2057,44,0,144,1,1,0,213,41,67,224,784,66,57,7,0,0,13,16,0,0,7,0,1,0,1,3,0,-2.1033,0,0.6243,-0.6994
423231,52895,2057,44,0,144,1,2,0,33,7,10,33,0,19,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
